allegation_id,officer_id,rank,salary,date,beat
107865,95,Sergeant,97212,2016-01-09T00:00:00.000+0000,260
99554,95,Sergeant,97212,2013-11-19T00:00:00.000+0000,260
66056,95,Sergeant,97212,2008-01-20T00:00:00.000+0000,null
63226,95,Sergeant,97212,2007-09-02T00:00:00.000+0000,225
59424,95,Sergeant,97212,2007-02-25T00:00:00.000+0000,245
52574,95,Sergeant,97212,2006-01-29T00:00:00.000+0000,253
44147,95,Sergeant,97212,2005-01-30T00:00:00.000+0000,261
41299,95,Sergeant,97212,2004-09-08T00:00:00.000+0000,253
34773,95,Sergeant,97212,2003-11-18T00:00:00.000+0000,246
13092,95,Sergeant,97212,2001-06-16T00:00:00.000+0000,237
10672,95,Sergeant,97212,2001-03-20T00:00:00.000+0000,253
3225,95,Sergeant,97212,2000-05-03T00:00:00.000+0000,140
145079,29652,Police Officer,82788,1995-06-09T00:00:00.000+0000,null
108407,1,Sergeant,101442,2016-03-12T00:00:00.000+0000,187
97832,1,Sergeant,101442,2013-06-29T00:00:00.000+0000,59
94547,1,Sergeant,101442,2012-10-07T00:00:00.000+0000,82
79950,1,Sergeant,101442,2010-01-20T00:00:00.000+0000,64
66771,1,Sergeant,101442,2007-04-25T00:00:00.000+0000,186
51273,1,Sergeant,101442,2005-07-19T00:00:00.000+0000,203
89608,2,Sergeant,111474,2011-10-26T00:00:00.000+0000,94
89562,2,Sergeant,111474,2011-10-27T00:00:00.000+0000,68
88281,2,Sergeant,111474,2011-06-24T00:00:00.000+0000,135
84845,2,Sergeant,111474,2010-10-26T00:00:00.000+0000,69
82629,2,Sergeant,111474,2010-07-06T00:00:00.000+0000,94
79436,2,Sergeant,111474,2009-12-12T00:00:00.000+0000,78
77686,2,Sergeant,111474,2009-08-20T00:00:00.000+0000,68
61109,2,Sergeant,111474,2007-05-24T00:00:00.000+0000,69
7758,4,Sergeant,98184,2000-08-16T00:00:00.000+0000,181
180089,4,Sergeant,98184,2000-08-16T00:00:00.000+0000,null
170998,4,Sergeant,98184,1999-04-19T00:00:00.000+0000,null
148244,4,Sergeant,98184,1995-11-16T00:00:00.000+0000,null
145843,4,Sergeant,98184,1995-07-12T00:00:00.000+0000,null
